scaffold,start,end,mid,sites,pi_Species1,pi_Species2,dxy_Species1_Species2,Fst_Species1_Species2
1,18000001,18050000,18042771,509,0.0588,0.1232,0.1721,0.3159
1,18050001,18100000,18070901,3118,0.0673,0.1212,0.1984,0.3595
1,18100001,18150000,18124041,715,0.0017,0.1152,0.1979,0.5989
1,18150001,18200000,18174513,556,5.00E-04,0.1104,0.2131,0.6417
1,18200001,18250000,18217893,627,0.0213,0.1207,0.1255,0.3055
1,18250001,18300000,18277253,501,0.0035,0.1246,0.176,0.5202
1,18350001,18400000,18381617,1799,0.0471,0.1277,0.1701,0.3358
1,18400001,18450000,18426649,1590,0.0488,0.1133,0.19,0.4133
1,18450001,18500000,18473092,937,0.0544,0.1141,0.1883,0.3901
1,18500001,18550000,18520156,996,0.0408,0.1348,0.2086,0.4288
1,18600001,18650000,18632164,1602,0.0427,0.1229,0.2124,0.4569
1,18650001,18700000,18668403,1607,0.0376,0.1321,0.1786,0.3774
1,18700001,18750000,18719701,1364,0.0189,0.1101,0.174,0.4937
1,18750001,18800000,18773892,567,0.0052,0.1102,0.1908,0.5858
1,18850001,18900000,18875890,815,0.0151,0.1134,0.2276,0.5977
1,18900001,18950000,18930768,1354,0.0252,0.1113,0.2204,0.5557
1,18950001,19000000,18967192,2466,0.0553,0.1102,0.1824,0.3824
1,19000001,19050000,19041869,960,0.0986,0.1302,0.2727,0.4033
1,19050001,19100000,19077238,1942,0.0759,0.1352,0.2211,0.3571
1,19100001,19150000,19122059,3353,0.074,0.1154,0.1724,0.2905
1,19150001,19200000,19176175,1481,0.0083,0.1285,0.1555,0.4356
1,19200001,19250000,19228387,2545,0.0599,0.1255,0.2105,0.3968
1,19250001,19300000,19278657,3418,0.052,0.1152,0.1513,0.2969
1,19300001,19350000,19320143,2498,0.0487,0.1209,0.1578,0.3127
1,19350001,19400000,19370321,3098,0.0597,0.118,0.1681,0.3146
1,19400001,19450000,19432029,1454,0.0561,0.1159,0.1708,0.3374
1,19500001,19550000,19522491,1061,0.0582,0.1298,0.2158,0.4035
1,19600001,19650000,19634804,1104,0.0059,0.1394,0.2484,0.5979
1,19650001,19700000,19662363,671,0.0113,0.135,0.2711,0.6187
1,19800001,19850000,19814548,545,0.0011,0.1217,0.2701,0.6808
1,19900001,19950000,19930903,724,0.0013,0.1458,0.2626,0.6175
1,19950001,20000000,19971464,1461,0.0427,0.1441,0.2039,0.3929
1,20000001,20050000,20027559,603,0,0.1498,0.2671,0.6349
1,20050001,20100000,20079047,722,0,0.1382,0.238,0.6069
1,20100001,20150000,20123700,1288,0.021,0.141,0.2557,0.5561
1,20300001,20350000,20334533,681,0.0026,0.1356,0.2286,0.5899
1,20400001,20450000,20428715,802,0.0388,0.1369,0.2684,0.5302
1,20450001,20500000,20484840,1088,0.0569,0.1232,0.2489,0.4782
1,20500001,20550000,20527687,1673,0.0409,0.136,0.2321,0.47
1,20550001,20600000,20580631,2068,0.0304,0.1364,0.2153,0.4706
1,20600001,20650000,20618847,1326,0.0079,0.1441,0.2057,0.5102
1,20650001,20700000,20672373,844,0.0025,0.1387,0.1779,0.4868
1,20700001,20750000,20721727,754,0.0058,0.1362,0.2387,0.5922
1,20750001,20800000,20777989,922,0.0026,0.1442,0.2316,0.5736
1,20800001,20850000,20827194,2656,0.0738,0.1275,0.1904,0.3108
1,20850001,20900000,20871321,2882,0.0607,0.1398,0.2031,0.3496
1,20900001,20950000,20924520,3827,0.0772,0.123,0.1896,0.3092
